name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,6,217868728,,,,,,,-77.250521,38.668562,,,
,7,661140307,,,,,,,-77.2467105,38.6717134,,,
,8,217870062,motorway_junction,,,,,,-77.298304,38.618463,,,
,9,217870078,,,,,,,-77.298718,38.617971,,,
,10,5425155146,motorway_junction,,,,,,-77.2580388,38.6695261,,,
,11,217876602,,,,,,,-77.251873,38.666659,,,
,27,217908377,,,,,,,-77.279321,38.656195,,,
,28,217908354,motorway_junction,,,,,,-77.278967,38.656823,,,
,39,660967162,motorway_junction,,,,,,-77.2924001,38.6280304,,,
,40,217926368,,,,,,,-77.292981,38.627272,,,
,41,660967147,motorway_junction,,,,,,-77.2937732,38.6284255,,,
,42,217926809,,,,,,,-77.293255,38.629038,,,
,52,217932105,motorway_junction,,,,,,-77.2889292,38.6400448,,,
,53,217932056,motorway_junction,,,,,,-77.290809,38.635977,,,
,58,217945276,motorway_junction,,,,,,-77.280168,38.656281,,,
,59,660967047,,,,,,,-77.2803778,38.6566305,,,
,70,217958076,motorway_junction,,,,,,-77.2474419,38.6720128,,,
,71,218529200,,,,,,,-77.254179,38.673962,,,
,73,217959272,,,,,,,-77.2823924,38.6554562,,,
,92,217988994,motorway_junction,,,,,,-77.29911,38.615233,,,
,93,1862233205,,,,,,,-77.2962355,38.618353,,,
,102,660967036,,,,,,,-77.277027,38.6615477,,,
,103,218002618,motorway_junction,,,,,,-77.273956,38.665064,,,
,112,218002698,motorway_junction,,,,,,-77.2788882,38.6594317,,,
,113,218012876,motorway_junction,,,,,,-77.296298,38.620763,,,
,114,8753227878,,,,,,,-77.2948361,38.6234406,,,
,119,218020526,,,,,,,-77.2925192,38.6341203,,,
,122,660967136,motorway_junction,,,,,,-77.289339,38.6359511,,,
,123,217931598,,,,,,,-77.289751,38.63561,,,
,130,218012843,motorway_junction,,,,,,-77.294352,38.624427,,,
,131,218028240,,,,,,,-77.288963,38.6265437,,,
,134,218033937,motorway_junction,,,,,,-77.2789562,38.6563174,,,
,159,218076413,,,,,,,-77.281859,38.653246,,,
,160,661716135,motorway_junction,,,,,,-77.2527828,38.6694971,,,
,161,218089199,,,,,,,-77.255343,38.669101,,,
,172,660967132,motorway_junction,,,,,,-77.2879347,38.6357179,,,
,173,217931639,,,,,,,-77.28811,38.639829,,,
,176,217926337,motorway_junction,,,,,,-77.292375,38.628595,,,
,177,217931587,,,,,,,-77.291097,38.631871,,,
,209,217931449,motorway_junction,,,,,,-77.2888228,38.6266504,,,
,242,218155507,motorway_junction,,,,,,-77.2823897,38.6517095,,,
,243,660967071,,,,,,,-77.2836051,38.6497395,,,
,244,218165734,motorway_junction,,,,,,-77.282638,38.65056,,,
,245,217908400,motorway_junction,,,,,,-77.280805,38.653515,,,
,246,218294915,motorway_junction,,,,,,-77.29875,38.62764,,,
,247,217926832,,,,,,,-77.295427,38.62441,,,
,257,217926819,motorway_junction,,,,,,-77.294125,38.627073,,,
,258,218181019,,,,,,,-77.2938247,38.6283077,,,
,259,218182673,motorway_junction,,,,,,-77.253001,38.6708885,,,
,260,218261913,,,,,,,-77.253698,38.670434,,,
,278,218195546,motorway_junction,,,,,,-77.277872,38.660418,,,
,279,218604181,,,,,,,-77.2822495,38.6569142,,,
,280,218195866,,,,,,,-77.2788798,38.6564542,,,
,294,218200370,motorway_junction,,,,,,-77.25152,38.668507,,,
,295,218200317,,,,,,,-77.252689,38.669888,,,
,301,218204516,motorway_junction,,,,,,-77.275653,38.655732,,,
,302,217908338,,,,,,,-77.277431,38.659573,,,
,1214,218165869,,,,,,,-77.2748815,38.6554393,,,
,1268,661140089,,,,,,,-77.2442283,38.6726982,,,
,1272,660967028,,,,,,,-77.2783681,38.660157,,,
,1274,660967060,,,,,,,-77.2848989,38.648321,,,
,1275,218155600,,,,,,,-77.286336,38.645195,,,
,1276,660967083,,,,,,,-77.2860634,38.6436362,,,
,1277,660967075,,,,,,,-77.2858519,38.6451843,,,
,1278,217931734,,,,,,,-77.2845852,38.6477408,,,
,1295,660967149,,,,,,,-77.2923411,38.6281664,,,
,1298,661140095,motorway_junction,,,,,,-77.2470429,38.6718486,,,
,1302,661140226,,,,,,,-77.244605,38.6728547,,,
,1305,661140303,,,,,,,-77.2439017,38.6725688,,,
,1309,218200440,motorway_junction,,,,,,-77.251661,38.670516,,,
,1310,661715743,,,,,,,-77.2507336,38.6687291,,,
,1311,661715768,,,,,,,-77.2510816,38.6716444,,,
,1312,661715802,,,,,,,-77.2489075,38.6714175,,,
,1318,217868735,,,,,,,-77.2507685,38.6683207,,,
,1319,218529240,motorway_junction,,,,,,-77.2515198,38.6661576,,,
,1320,661716022,,,,,,,-77.2511038,38.6685741,,,
,1322,9481617110,traffic_signals,,signal,,,,-77.2532285,38.6722404,,,
,1323,1123003259,motorway_junction,,,,,,-77.253575,38.6720162,,,
,1324,218013672,,,,,,,-77.256984,38.669953,,,
,1411,1859105178,,,,,,,-77.2588468,38.669719,,,
,1412,217931645,motorway_junction,,,,,,-77.2875974,38.6409691,,,
,1416,8631078082,,,,,,,-77.28988,38.6376446,,,
,1417,218260475,,,,,,,-77.2695248,38.6675179,,,
,1418,1859105173,,,,,,,-77.2592944,38.6693689,,,
,1445,1859105177,,,,,,,-77.2593555,38.6696582,,,
,1446,218261961,,,,,,,-77.266399,38.668747,,,
,1447,1859105174,,,,,,,-77.2587647,38.6694338,,,
,1448,1859105176,,,,,,,-77.2588083,38.6695853,,,
,1449,1859105175,,,,,,,-77.259326,38.6695185,,,
,1452,217870168,,,,,,,-77.298253,38.620173,,,
,1453,217870199,,,,,,,-77.297747,38.619635,,,
,1454,1862233206,,,,,,,-77.2964975,38.6192696,,,
,1455,217989229,,,,,,,-77.297497,38.618294,,,
,1591,218116235,,,,,,,-77.286642,38.643316,,,
,1592,8108141236,,,,,,,-77.2865384,38.6435084,,,
,1593,6003858575,,,,,,,-77.2811832,38.6538567,,,
,1600,3536514125,motorway_junction,,,,,,-77.2818391,38.6526883,,,
,1601,6003858576,,,,,,,-77.2795439,38.6561218,,,
,1602,218262136,motorway_junction,,,,,,-77.290141,38.636968,,,
,1603,218261533,,,,,,,-77.291765,38.63147,,,
,1745,,,,,,,,-77.3006153,38.61459,,,boundary node created by osm2gmns
,1794,,,,,,,,-77.3000276,38.61459,,,boundary node created by osm2gmns
,1884,217931607,,,,,,,-77.289567,38.636132,,,
,1885,8123318809,,,,,,,-77.2881652,38.6416788,,,
,1886,1416829856,,,,,,,-77.2696447,38.6678102,,,
,1887,8123355338,,,,,,,-77.2772715,38.6614953,,,
,1897,218089238,,,,,,,-77.2537962,38.6701055,,,
,1898,8141610892,,,,,,,-77.2526704,38.6703195,,,
,1902,8108473448,,,,,,,-77.2795926,38.6573179,,,
,1903,,,,,,,,-77.2995589,38.61459,,,boundary node created by osm2gmns
,1976,217908300,,,,,,,-77.275992,38.662438,,,
,1977,218012851,,,,,,,-77.2947088,38.6237004,,,
,1999,,,,,,,,-77.3004871,38.61459,,,boundary node created by osm2gmns
