  ,95 Express Lanes / 436339933 / 1,95 Express Lanes / 51826731 / 1,95 Express Lanes / 636701141 / 1,95 Express Lanes / 636701144 / 1,I 95 / 307480708 / 1,I 95 / 51826852 / 1,I 95 / 870344425 / 3,I 95 / 872163516 / 1,I 95 / 872165161 / 1,I 95 / 930885998 / 1,motorway_link / 124891274 / 1,motorway_link / 20419324 / 1,motorway_link / 20419653 / 1,motorway_link / 20423565 / 1,motorway_link / 20424282 / 1,motorway_link / 20426152 / 1,motorway_link / 20428381 / 1,motorway_link / 20428850 / 1,motorway_link / 20439589 / 1,motorway_link / 20440919 / 1,motorway_link / 20440946 / 1,motorway_link / 20441368 / 1,motorway_link / 206378233 / 1,motorway_link / 291999598 / 1,motorway_link / 51808516 / 1,motorway_link / 537938574 / 4,motorway_link / 537938954 / 1,motorway_link / 61155962 / 1
95 Express Lanes / 436339933 / 1,0,632,726,1068,0,42,0,12,6,36,0,42,0,0,8,0,0,0,0,0,0,8,0,0,60,21,64,0
95 Express Lanes / 51826731 / 1,1150,0,984,1064,0,0,0,12,31,18,0,24,0,0,8,0,0,0,0,0,0,0,0,0,50,0,75,0
95 Express Lanes / 636701141 / 1,172,132,0,746,6,11509,11910,114,182,60,0,18,160,0,8,0,28,0,35,79,0,802,0,0,60,0,0,0
95 Express Lanes / 636701144 / 1,144,132,9775,0,0,9650,10089,84,141,64,0,17,148,0,8,0,21,0,0,64,0,785,0,0,0,21,0,0
I 95 / 307480708 / 1,42,44,0,6,0,60582,68911,1584,1381,1010,0,0,863,0,16,0,255,0,267,237,6428,9599,0,2892,0,128,48,0
I 95 / 51826856 / 1,0,0,24,24,666,896,779,92793,110847,77263,0,1522,35,744,15579,0,8232,86,5127,19345,210,49,111,63,10,1861,0,0
I 95 / 687358695 / 1,54,43,404,12,60461,48285,54214,1191,984,929,432,18,596,0,16,2029,57,6101,170,135,4929,7494,6302,2003,0,625,48,0
I 95 / 870344425 / 3,6,6,0,18,0,84106,0,1339,1953,866,0,0,1281,28,72,0,293,0,201,605,0,11385,0,6,0,56,0,0
I 95 / 872163516 / 1,0,0,30,30,936,640,777,0,18,92431,0,1448,35,0,0,0,10301,105,7752,21,139,136,105,155,0,2506,0,0
I 95 / 872165161 / 1,0,0,24,24,816,784,856,104349,0,86117,0,1544,42,1048,0,0,9725,86,6526,21507,210,140,99,103,10,2363,48,0
motorway_link / 124891274 / 1,6,6,1706,0,6,1828,1783,39,54,0,0,0,0,0,0,0,8,0,37,16,0,16,0,0,0,0,0,0
motorway_link / 175659792 / 1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2114,0,0
motorway_link / 175659796 / 1,0,0,0,5,1998,1757,1888,0,0,0,0,0,28,0,0,0,0,78,7,0,61,159,30,0,0,21,0,0
motorway_link / 20422548 / 1,0,0,602,0,5118,4899,5266,176,229,49,635,14,96,0,0,0,140,0,8,88,150,531,42,373,0,32,0,0
motorway_link / 20422572 / 1,0,0,0,0,78,42,42,7,7,0,0,43,0,0,0,0,0,73,103,0,0,8,7,42,0,7448,0,0
motorway_link / 20428464 / 1,0,0,49,0,1985,1680,1887,54,76,18,50,0,36,0,0,0,48,0,0,16,91,272,0,105,0,8,0,0
motorway_link / 20429249 / 1,0,0,0,0,8,13444,13975,214,442,144,0,0,199,27,60,0,60,0,18,315,269,823,0,0,0,10,0,0
motorway_link / 20432309 / 2,0,0,8,8,303,125,144,16716,72,12911,0,73,9,0,0,0,1263,25,1985,30,90,30,9,126,0,707,0,0
motorway_link / 20433217 / 1,0,0,0,0,0,14068,0,27,135,9,0,0,0,0,440,0,20,0,0,121,0,20,9,0,0,0,0,0
motorway_link / 20433806 / 1,6,7,152,0,2557,1787,2193,93,56,36,175,0,110,0,0,0,24,0,54,0,368,446,0,182,0,0,0,0
motorway_link / 20435035 / 1,0,0,582,0,5871,4855,5434,238,152,49,616,0,24,0,0,0,32,0,184,24,849,864,0,284,0,16,0,0
motorway_link / 20438740 / 1,0,0,0,0,30,12,12,12,12,0,0,91,0,0,0,0,16,6,0,0,21,0,90,0,0,8031,0,0
motorway_link / 20439725 / 1,0,0,0,0,18,21,12,2193,2904,1784,0,6,7,16,0,0,305,0,110,710,0,0,0,7,0,32,0,0
motorway_link / 20441697 / 1,0,0,0,0,0,1118,1281,22,40,21,0,0,40,9,0,0,0,0,0,18,0,201,0,0,0,0,0,0
motorway_link / 51808516 / 1,0,0,0,0,0,0,0,20,0,10,0,40,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0
motorway_link / 51862982 / 1,0,0,0,0,0,2105,0,0,42,0,0,0,0,0,9,0,0,0,0,48,0,0,0,0,0,0,0,0
motorway_link / 537938954 / 1,715,648,0,0,0,0,0,16,0,32,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
motorway_link / 61155962 / 1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
motorway_link / 61155967 / 1,0,0,0,0,168,40,144,13428,16090,10159,0,32,0,253,0,0,1484,0,1552,2386,0,110,0,40,0,559,0,0
