  ,95 Express Lanes / 436339933 / 1,95 Express Lanes / 51826731 / 1,95 Express Lanes / 636701141 / 1,95 Express Lanes / 636701144 / 1,I 95 / 307480708 / 1,I 95 / 51826852 / 1,I 95 / 870344425 / 3,I 95 / 872163516 / 1,I 95 / 872165161 / 1,I 95 / 930885998 / 1,motorway_link / 124891274 / 1,motorway_link / 20419324 / 1,motorway_link / 20419653 / 1,motorway_link / 20423565 / 1,motorway_link / 20424282 / 1,motorway_link / 20426152 / 1,motorway_link / 20428381 / 1,motorway_link / 20428850 / 1,motorway_link / 20439589 / 1,motorway_link / 20440919 / 1,motorway_link / 20440946 / 1,motorway_link / 20441368 / 1,motorway_link / 206378233 / 1,motorway_link / 291999598 / 1,motorway_link / 51808516 / 1,motorway_link / 537938574 / 4,motorway_link / 537938954 / 1,motorway_link / 61155962 / 1
95 Express Lanes / 436339933 / 1,0,333,295,539,0,48,21,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,36,28,0,0
95 Express Lanes / 51826731 / 1,463,0,452,552,0,0,24,0,0,0,0,0,9,0,0,0,0,0,28,0,0,0,0,0,37,0,0,0
95 Express Lanes / 636701141 / 1,113,122,0,403,0,17481,18139,130,192,108,0,0,252,0,0,0,9,0,0,54,8,1140,0,0,0,9,0,0
95 Express Lanes / 636701144 / 1,98,64,14614,0,0,14616,15178,121,170,107,0,0,244,0,0,0,9,0,0,54,0,1095,0,0,0,0,0,0
I 95 / 307480708 / 1,28,24,0,21,0,58313,68417,1419,1144,902,0,8,1041,0,60,0,204,0,216,168,7133,11672,32,2505,0,143,10,0
I 95 / 51826856 / 1,0,0,0,0,811,1048,829,76325,96492,59970,0,949,0,885,13541,0,7533,8,7560,20234,153,80,56,34,0,1609,0,0
I 95 / 687358695 / 1,28,0,596,0,59083,46036,53147,888,798,686,642,7,879,0,60,1237,36,5409,99,45,5258,9258,4830,1664,0,435,20,0
I 95 / 870344425 / 3,0,32,0,28,0,89144,0,1153,1830,806,0,0,1484,63,100,0,187,0,163,730,32,14365,0,0,0,96,0,0
I 95 / 872163516 / 1,0,0,0,0,992,651,768,0,0,73696,0,921,0,0,0,0,9812,48,10478,0,192,130,128,72,0,2226,0,0
I 95 / 872165161 / 1,0,0,0,0,924,890,983,87876,0,68387,0,989,0,1233,0,0,9177,40,9219,22722,180,201,56,32,0,1971,0,0
motorway_link / 124891274 / 1,0,0,2656,0,0,2812,2766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
motorway_link / 175659792 / 1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,8,0,0,0,0,8,0,0,1263,0,0
motorway_link / 175659796 / 1,0,0,0,0,1268,1187,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,15,23,0,0,0,0
motorway_link / 20422548 / 1,0,0,807,0,5523,5491,5849,171,182,81,861,9,50,0,0,0,99,0,0,60,209,564,90,375,0,76,0,0
motorway_link / 20422572 / 1,0,0,0,0,72,24,72,24,25,24,0,24,0,0,0,0,0,74,186,0,0,60,0,0,0,5355,0,0
motorway_link / 20428464 / 1,0,0,31,0,1740,1483,1688,8,40,0,33,0,27,0,0,0,10,0,0,40,25,282,0,72,0,10,0,0
motorway_link / 20429249 / 1,0,0,0,0,0,13455,14400,141,508,80,0,0,192,0,13,0,60,0,11,529,154,1337,0,0,0,0,39,0
motorway_link / 20432309 / 2,0,0,0,0,264,99,99,14728,0,10912,0,11,0,0,0,0,1319,11,2098,0,121,0,99,55,0,640,0,0
motorway_link / 20433217 / 1,0,0,0,0,0,15094,0,159,230,11,0,0,0,0,474,0,39,0,85,117,0,39,0,0,0,0,0,0
motorway_link / 20433806 / 1,0,0,368,0,2334,1847,2194,146,62,57,386,0,90,0,0,0,70,0,38,60,415,411,0,157,0,30,0,0
motorway_link / 20435035 / 1,0,0,976,0,7212,5999,6701,316,155,153,1045,0,0,0,0,0,0,0,162,0,1435,1112,0,267,0,0,0,0
motorway_link / 20438740 / 1,0,0,0,0,112,24,48,8,0,8,0,56,0,0,0,0,0,0,0,0,84,30,75,8,0,6500,0,0
motorway_link / 20439725 / 1,0,0,0,0,40,64,64,2628,3657,2113,0,0,0,70,0,0,333,8,163,1054,0,0,0,0,0,60,0,0
motorway_link / 20441697 / 1,0,0,0,0,0,1220,1484,47,80,36,0,0,22,66,0,0,11,0,0,11,0,357,0,0,0,0,0,0
motorway_link / 51808516 / 1,0,0,0,0,0,0,0,0,0,0,0,36,13,0,0,0,0,0,49,0,0,0,0,0,0,42,0,0
motorway_link / 51862982 / 1,0,0,0,0,0,1538,0,0,29,0,0,0,0,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0
motorway_link / 537938954 / 1,516,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
motorway_link / 61155962 / 1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
motorway_link / 61155967 / 1,0,0,0,0,190,40,190,12480,15097,8768,0,10,0,302,0,0,1775,30,1970,2253,60,156,0,0,0,344,0,0
