  ,95 Express Lanes / 436339933 / 1,95 Express Lanes / 51826731 / 1,95 Express Lanes / 636701141 / 1,95 Express Lanes / 636701144 / 1,I 95 / 307480708 / 1,I 95 / 51826852 / 1,I 95 / 870344425 / 3,I 95 / 872163516 / 1,I 95 / 872165161 / 1,I 95 / 930885998 / 1,motorway_link / 124891274 / 1,motorway_link / 20419324 / 1,motorway_link / 20419653 / 1,motorway_link / 20423565 / 1,motorway_link / 20424282 / 1,motorway_link / 20426152 / 1,motorway_link / 20428381 / 1,motorway_link / 20428850 / 1,motorway_link / 20439589 / 1,motorway_link / 20440919 / 1,motorway_link / 20440946 / 1,motorway_link / 20441368 / 1,motorway_link / 206378233 / 1,motorway_link / 291999598 / 1,motorway_link / 51808516 / 1,motorway_link / 537938574 / 4,motorway_link / 537938954 / 1,motorway_link / 61155962 / 1
95 Express Lanes / 436339933 / 1,0,260,403,663,0,0,0,7,0,7,0,0,0,0,0,0,27,0,0,0,0,0,0,0,60,9,0,0
95 Express Lanes / 51826731 / 1,625,0,590,736,0,0,24,0,48,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,60,0,30,0
95 Express Lanes / 636701141 / 1,152,164,0,446,0,15308,15835,141,208,124,0,0,158,0,0,0,9,0,9,63,0,1086,0,0,36,36,0,0
95 Express Lanes / 636701144 / 1,133,56,12992,0,0,12922,13479,111,143,102,0,0,149,0,0,0,9,0,0,36,0,1048,0,0,0,9,0,0
I 95 / 307480708 / 1,0,32,7,0,0,54413,62342,1516,1111,1049,0,0,652,0,40,0,265,0,183,155,7152,10308,0,2552,0,66,0,0
I 95 / 51826856 / 1,0,0,0,0,622,883,782,78235,98144,61970,0,1079,27,985,14157,32,8629,8,6592,19796,81,10,97,32,0,1732,0,0
I 95 / 687358695 / 1,0,7,524,0,53570,42326,47716,1024,811,857,559,8,475,0,0,1552,54,5407,72,63,5059,7385,3921,1670,0,370,0,0
I 95 / 870344425 / 3,7,32,7,7,0,83719,0,1275,1664,868,0,8,1145,9,100,0,237,8,173,371,0,12613,0,0,0,39,0,0
I 95 / 872163516 / 1,0,0,0,0,752,583,585,0,8,75769,0,1040,0,0,0,28,10728,72,9612,9,88,10,128,56,0,2273,0,0
I 95 / 872165161 / 1,0,0,0,0,673,827,907,89813,0,70655,0,1063,36,1309,0,32,10276,73,8302,22088,117,10,121,32,0,1986,42,0
motorway_link / 124891274 / 1,0,0,2201,0,0,2329,2291,32,57,24,0,0,0,0,0,0,0,0,9,30,0,40,0,0,0,0,0,0
motorway_link / 175659792 / 1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1266,0,0
motorway_link / 175659796 / 1,0,0,0,0,1596,1443,1564,21,24,21,0,0,0,0,0,0,0,28,0,0,40,181,14,0,0,0,0,0
motorway_link / 20422548 / 1,0,0,722,0,5143,5081,5403,72,129,0,774,0,50,0,33,0,88,0,0,71,199,497,63,383,0,63,0,0
motorway_link / 20422572 / 1,0,0,8,0,80,64,64,0,0,0,8,8,0,0,0,0,0,49,115,0,27,0,24,0,0,5372,0,0
motorway_link / 20428464 / 1,0,0,39,0,1691,1316,1612,40,0,16,41,0,36,0,0,0,40,0,0,0,26,367,0,99,0,10,0,0
motorway_link / 20429249 / 1,0,0,0,0,30,14210,15216,265,445,90,0,0,383,12,78,0,144,10,57,264,143,1078,0,0,0,0,0,0
motorway_link / 20432309 / 2,0,0,0,0,143,44,44,14612,11,10948,0,22,0,0,0,0,1125,0,2211,12,66,0,11,33,0,551,0,0
motorway_link / 20433217 / 1,0,0,0,0,11,16045,44,55,273,22,0,0,0,39,406,0,0,0,36,208,0,91,0,0,0,0,0,0
motorway_link / 20433806 / 1,0,0,168,0,2936,1992,2497,195,88,114,173,0,36,0,11,0,91,0,10,30,471,610,0,217,0,0,0,0
motorway_link / 20435035 / 1,0,0,864,0,7293,5656,6595,316,128,153,924,0,30,0,0,0,0,0,184,30,1481,1369,0,218,0,0,0,0
motorway_link / 20438740 / 1,0,0,0,0,96,88,88,24,0,0,0,72,0,0,0,0,30,8,0,0,33,0,40,0,0,6540,0,0
motorway_link / 20439725 / 1,0,0,0,0,32,41,41,2464,3188,2103,0,0,0,30,0,0,214,8,133,789,0,0,0,0,0,0,0,0
motorway_link / 20441697 / 1,0,0,0,0,0,1296,1468,39,70,37,0,0,11,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0
motorway_link / 51808516 / 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,42,0,0
motorway_link / 51862982 / 1,0,0,0,0,0,1739,0,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
motorway_link / 537938954 / 1,302,248,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
motorway_link / 61155962 / 1,0,45,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
motorway_link / 61155967 / 1,0,0,0,0,80,80,90,12457,15061,8794,0,10,11,360,0,0,1727,70,1908,2169,40,0,30,0,0,395,0,0
