tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
115N08980,RIO SALADO PKWY,WESTBOUND,S MILL AVE,AZ,MARICOPA,85281,33.42968,-111.93997,33.42967,-111.94008,0.00638,9.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115N08983,RIO SALADO PKWY,WESTBOUND,AZ-101/S PRICE RD,AZ,MARICOPA,85281,33.4293,-111.89027,33.42937,-111.89184,0.090662,5.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115N50047,N SCOTTSDALE RD,SOUTHBOUND,E RIO SALADO PKWY,AZ,MARICOPA,85281,33.42929,-111.92627,33.42891,-111.92628,0.026267,47.5,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115N08861,BROADWAY RD,WESTBOUND,AZ-101/PRICE FWY,AZ,MARICOPA,85282,33.40758,-111.89035,33.40756,-111.892,0.09518,22.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+08981,RIO SALADO PKWY,EASTBOUND,N SCOTTSDALE RD/S RURAL RD,AZ,MARICOPA,85281,33.42958,-111.93997,33.42878,-111.92636,0.83312,5.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+08860,BROADWAY RD,EASTBOUND,S MCCLINTOCK DR,AZ,MARICOPA,85282,33.40744,-111.92628,33.40743,-111.90908,0.992069,17.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+08861,BROADWAY RD,EASTBOUND,AZ-101/PRICE FWY,AZ,MARICOPA,85282,33.40743,-111.90908,33.40737,-111.892,0.985198,18.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+08982,RIO SALADO PKWY,EASTBOUND,MCCLINTOCK DR,AZ,MARICOPA,85281,33.42877,-111.92622,33.4292,-111.90907,0.997477,7.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P08910,UNIVERSITY DR,EASTBOUND,AZ-101/PRICE FWY,AZ,MARICOPA,85281,33.42191,-111.89195,33.42191,-111.89031,0.094575,13.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+08862,BROADWAY RD,EASTBOUND,S DOBSON RD,AZ,MARICOPA,85282,33.40736,-111.89034,33.4076,-111.87454,0.912961,20.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
